participant_id,group,stress1,stress2,stress3,coping1,coping2,coping3,burnout1,burnout2,burnout3
1,A,3.06,2.84,3.12,3.69,3.58,3.63,3.3,3.29,3.3
2,A,2.31,1.7,1.78,2.82,2.99,3.08,3.05,3.15,2.92
3,A,3.95,3.59,3.85,3.42,3.45,3.45,3.22,3.36,3.33
4,A,3.32,2.74,3.1,2.79,2.37,2.65,2.95,2.08,2.56
5,A,3.23,2.8,3.48,3.04,3.17,3.19,3.35,3.25,2.96
6,A,3.41,3.42,3.63,3.55,2.78,2.83,3.26,3.52,3.36
7,A,1.85,1.68,2.3,1.72,1.54,1.46,2.09,2.34,2.15
8,A,3.98,3.83,3.82,3.22,3.62,3.89,2.52,2.88,3.24
9,A,2.39,2.44,2.62,3.55,3.86,3.31,3.33,3.65,3.46
10,A,2.61,2.3,2.71,3.34,3.36,3.69,3.59,4.12,3.55
11,A,3.0,2.8,2.85,3.31,3.48,3.19,3.72,3.75,3.67
12,A,3.91,3.65,3.77,3.81,4.11,3.69,4.79,5.11,4.07
13,A,2.61,2.38,2.75,3.04,2.9,3.54,3.16,2.89,3.07
14,A,3.04,3.34,2.9,3.15,3.47,3.34,2.34,1.5,1.9
15,A,2.41,3.28,2.75,3.6,3.12,3.44,4.12,3.74,3.89
16,B,4.46,4.27,4.03,4.45,3.54,3.95,3.72,3.78,3.98
17,B,3.31,3.77,3.48,3.52,3.47,4.05,3.21,3.36,2.81
18,B,3.94,3.25,3.96,3.14,2.91,2.36,3.84,3.42,3.35
19,B,3.55,4.02,4.21,4.1,3.75,3.51,4.66,4.39,4.45
20,B,4.4,3.97,4.73,3.89,3.72,3.77,3.16,2.93,3.3
21,B,3.9,3.26,3.75,3.38,3.64,3.32,4.64,4.03,4.39
22,B,3.47,3.79,3.45,3.45,3.63,3.23,2.78,2.91,3.38
23,B,2.62,2.36,2.66,2.56,2.29,2.09,2.88,3.23,2.92
24,B,2.9,2.56,3.05,2.13,2.86,2.52,1.68,2.31,2.12
25,B,1.92,2.16,2.25,2.35,2.32,2.47,2.56,2.47,1.89
26,B,4.03,4.56,3.73,4.44,4.99,4.05,4.22,4.48,4.04
27,B,3.89,3.92,4.15,4.01,4.03,3.72,3.43,3.71,3.57
28,B,3.25,3.05,2.34,2.86,2.89,3.09,4.17,4.0,4.21
29,B,2.05,2.49,2.71,2.8,3.04,3.18,3.09,2.91,2.82
30,B,4.63,5.32,5.25,5.11,4.92,4.4,4.16,3.51,3.93
